t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.500301,0.49610099999999996,0.546326,0.47423699999999996,0.0
0.1,0.5003,0.4961,0.587715,0.449202,0.0
0.2,0.5003000000000001,0.4961,0.612035,0.431354,0.0
0.3,0.5003,0.4961,0.6292099999999999,0.4193799999999999,0.0
0.4,0.500299,0.4961000000000001,0.6383780000000001,0.413985,0.0
0.5,0.500298,0.49609899999999996,0.64778,0.41204300000000005,0.0
0.6,0.5003010000000001,0.496101,0.655367,0.409321,0.0
0.7,0.5003,0.4961,0.663979,0.406137,0.0
0.8,0.5003,0.4961,0.6661809999999999,0.407312,0.0
0.9,0.5003,0.496099,0.667933,0.406577,0.0
1.0,0.5003,0.4961,0.670254,0.40534300000000006,0.0
1.1,0.5003,0.496099,0.674069,0.40155299999999994,0.0
1.2,0.5003,0.49610000000000004,0.6736820000000001,0.399815,0.0
1.3,0.500299,0.49609900000000007,0.675394,0.399124,0.0
1.4,0.5003,0.4961,0.6768409999999999,0.394147,0.0
1.5,0.5003,0.49610000000000004,0.676031,0.394228,0.0
1.6,0.500301,0.496101,0.678928,0.393672,0.0
1.7,0.5003,0.4961,0.6789100000000001,0.393335,0.0
1.8,0.5003,0.4961009999999999,0.679716,0.39403600000000005,0.0
1.9,0.500299,0.49609899999999996,0.6783849999999999,0.394428,0.0
2.0,0.5003,0.496099,0.6793079999999999,0.39584199999999997,0.0
2.1,0.500301,0.496101,0.681954,0.392259,0.0
2.2,0.500299,0.49610099999999996,0.683929,0.391955,0.0
2.3,0.5003,0.4961,0.6859179999999999,0.39169499999999996,0.0
2.4,0.500301,0.49610000000000004,0.6857030000000002,0.3943,0.0
2.5,0.5003009999999999,0.496101,0.686531,0.395047,0.0
2.6,0.5003010000000001,0.49610099999999996,0.6797050000000001,0.39310399999999995,0.0
2.7,0.5003,0.4961,0.681411,0.39629500000000006,0.0
2.8,0.500301,0.496101,0.6822659999999999,0.39743300000000004,0.0
2.9,0.500301,0.496101,0.6800879999999999,0.398111,0.0
3.0,0.500301,0.496099,0.6784800000000001,0.400018,0.0
3.1,0.500299,0.49609899999999996,0.676389,0.399374,0.0
3.2,0.5003,0.4961,0.678149,0.39804300000000004,0.0
3.3,0.5003,0.49609899999999996,0.683113,0.396897,0.0
3.4,0.5003000000000001,0.49609899999999996,0.6832309999999999,0.39717,0.0
3.5,0.5003,0.4961,0.680355,0.397477,0.0
3.6,0.5003,0.4961,0.681144,0.397342,0.0
3.7,0.5003,0.4961,0.683917,0.39862099999999995,0.0
3.8,0.500299,0.496098,0.683074,0.395279,0.0
3.9,0.500298,0.49609899999999996,0.6849339999999999,0.39712500000000006,0.0
